user_id,user_name,video_id,video_desc,create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
6582720954740523010,l0lipop00,6881240846054853890,😭😂🤣🤣🤣#staysafe #gagalkanomnibuslaw #stayhealthy #indonesia🇮🇩 #omnibuslaw #fypppppppppppppp #bengekmoment #bengek,2020-10-08 20:28:57,"{'width': 576, 'height': 1040, 'ratio': 52, 'duration': 52}",https://www.tiktok.com/@l0lipop00/video/6881240846054853890?lang=id,2100000,116000,30100,13900000
6565716461816627202,akuuaisah,6880395711578377474,#gagalkanomnibuslaw #tolakomnibuslaw #omnibuslaw,2020-10-06 13:49:25,"{'width': 540, 'height': 900, 'ratio': 12, 'duration': 12}",https://www.tiktok.com/@akuuaisah/video/6880395711578377474?lang=id,1400000,17100,15900,15900000
6549916366450425858,fathirtadj,6880840985685937410,Setujuu. No debat!! #omnibuslaw #tolakruuciptakerja #mositidakpercaya #dpr,2020-10-07 18:37:18,"{'width': 540, 'height': 960, 'ratio': 33, 'duration': 33}",https://www.tiktok.com/@fathirtadj/video/6880840985685937410?lang=id,1400000,33900,14400,8200000
6861839750992266241,pojoksatu.id,6880863689394752769,Waduh Ditangkap kenapa ya ? ada yg tau kejadian dimana ? #tiktokberita #omnibuslaw,2020-10-07 20:05:24,"{'width': 576, 'height': 1024, 'ratio': 32, 'duration': 32}",https://www.tiktok.com/@pojoksatu.id/video/6880863689394752769?lang=id,1000000,19800,34200,20800000
6868285880634098690,slidegossipchannel,6880392980344179969,"Kalau suara wakil rakyat yang kontra aja bisa dimute, gmn suara rakyat? 😥😭 #fyp #tiktokberita #info #omnibuslaw #dpr",2020-10-06 13:38:54,"{'width': 576, 'height': 1024, 'ratio': 54, 'duration': 54}",https://www.tiktok.com/@slidegossipchannel/video/6880392980344179969?lang=id,1000000,88000,32100,10800000
6553797498775158785,bradabagus,6881630100115393793,woii laa : v #fyp #omnibus #omnibuslaw #omnibuslawciptakerja #demo #dpr #tolakomnibuslaw,2020-10-09 21:39:27,"{'width': 576, 'height': 1024, 'ratio': 28, 'duration': 28}",https://www.tiktok.com/@bradabagus/video/6881630100115393793?lang=id,1000000,19900,23900,4700000
6865980676018177025,nct_kuygirl,6881282485242645762,Tunggu Part 2-nya #kuygirl #stm  #omnibuslaw #dpr,2020-10-08 23:10:32,"{'width': 480, 'height': 854, 'ratio': 20, 'duration': 20}",https://www.tiktok.com/@nct_kuygirl/video/6881282485242645762?lang=id,992900,11700,3989,5800000
6776818496686769153,clarramoy,6881318538494201089,Mas almet biru siapa namanya 🤧 alisnya bikin insekyur 😌 (ib : org2 difyp) #fyp #foryoupage #omnibuslaw #tolakomnimbuslaw,2020-10-09 01:30:26,"{'width': 576, 'height': 1056, 'ratio': 24, 'duration': 24}",https://www.tiktok.com/@clarramoy/video/6881318538494201089?lang=id,988600,25100,24300,4400000
6748406874792772610,broo_mar,6881511316079529218,Balas @viral0012  Nih yang versi bapak DPR 😭😂 #omnibuslaw #mositidakpercaya #dpr #fyp #fy #fyi #foryou #foryoupage #beranda #berandatiktok #viral,2020-10-09 13:58:32,"{'width': 576, 'height': 1024, 'ratio': 16, 'duration': 16}",https://www.tiktok.com/@broo_mar/video/6881511316079529218?lang=id,958200,19100,10300,14100000
6803264983666099201,jibidjib,6881528266969074946,Gua ngapaim sih? #dpr #omnibuslaw #tolakomnimbuslaw #fyp,2020-10-09 15:04:19,"{'width': 540, 'height': 960, 'ratio': 25, 'duration': 25}",https://www.tiktok.com/@jibidjib/video/6881528266969074946?lang=id,906500,19000,21400,6500000
